MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41.0,6.984127,1.023810,322.0,2.555556,37.88,-122.23,4.526
8.3014,21.0,6.238137,0.971880,2401.0,2.109842,37.86,-122.22,3.585
7.2574,52.0,8.288136,1.073446,496.0,2.802260,37.85,-122.24,3.521
5.6431,52.0,5.817352,1.073059,558.0,2.547945,37.85,-122.25,3.413
3.8462,52.0,6.281853,1.081081,565.0,2.181467,37.85,-122.25,3.422
4.0368,52.0,4.761658,1.103627,413.0,2.139896,37.85,-122.25,3.270
3.6591,52.0,4.931907,0.951362,1094.0,2.128405,37.84,-122.25,3.075
3.1200,52.0,4.797527,1.061824,1157.0,1.788253,37.84,-122.25,2.675
2.0804,42.0,4.294118,1.117647,1206.0,2.026891,37.84,-122.26,2.259
3.6912,52.0,4.970588,0.990196,1551.0,2.172269,37.84,-122.25,2.400
3.2031,52.0,5.477612,1.079602,910.0,2.263682,37.85,-122.26,2.675
3.2705,52.0,4.772480,1.024523,1504.0,2.049387,37.85,-122.26,2.138
3.0750,52.0,5.322650,1.012821,1098.0,2.346154,37.85,-122.26,1.982
2.6736,52.0,4.000000,1.097561,345.0,1.682927,37.84,-122.26,2.500
1.9167,52.0,4.262903,1.009677,1212.0,1.954839,37.85,-122.26,1.625
2.1250,50.0,4.242424,1.071970,697.0,2.640152,37.85,-122.26,1.775
2.7750,52.0,5.939394,1.048485,793.0,2.403030,37.85,-122.27,1.813
2.1202,52.0,4.052805,0.966997,648.0,2.138614,37.85,-122.27,1.564
1.9911,50.0,5.343675,1.085919,990.0,2.362768,37.84,-122.26,1.919
2.6033,52.0,5.465455,1.083636,690.0,2.509091,37.84,-122.27,1.625
1.3578,40.0,4.524096,1.108434,409.0,2.463855,37.85,-122.27,0.938
1.7135,42.0,4.478142,1.002732,929.0,2.538798,37.85,-122.27,1.380
1.7250,52.0,5.096154,1.131868,1015.0,2.780220,37.85,-122.27,1.256
2.1806,52.0,5.193846,1.036923,853.0,2.624615,37.84,-122.27,1.294
2.6000,52.0,5.270142,1.035545,1006.0,2.379147,37.84,-122.27,1.500
2.4038,41.0,4.495690,1.063362,544.0,2.344828,37.84,-122.28,1.098
2.4597,49.0,4.728261,1.098551,1387.0,2.014493,37.84,-122.28,1.680
2.2500,52.0,4.960106,1.058036,1261.0,2.226190,37.85,-122.28,1.500
2.9344,36.0,4.637363,1.043956,1705.0,2.806931,37.85,-122.28,1.731
1.9531,49.0,4.540541,1.103604,716.0,2.146847,37.84,-122.28,1.344
