MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41.0,6.984127,1.023810,322.0,2.555556,37.88,-122.23,4.526
8.3014,21.0,6.238137,0.971880,2401.0,2.109842,37.86,-122.22,3.585
7.2574,52.0,8.288136,1.073446,496.0,2.802260,37.85,-122.24,3.521
5.6431,52.0,5.817352,1.073059,558.0,2.547945,37.85,-122.25,3.413
3.8462,52.0,6.281853,1.081081,565.0,2.181467,37.85,-122.25,3.422
4.0368,52.0,4.761658,1.103627,413.0,2.139896,37.85,-122.25,2.697
3.6591,52.0,4.931907,0.951362,1094.0,2.128405,37.84,-122.25,2.992
3.1200,52.0,4.797527,1.061824,1157.0,1.788253,37.84,-122.25,2.414
2.0804,42.0,4.294118,0.967320,1206.0,2.500000,37.84,-122.26,2.267
3.6912,52.0,4.970588,0.990196,1551.0,2.172269,37.84,-122.25,2.611
3.2031,52.0,5.477612,1.079602,910.0,2.263682,37.85,-122.26,2.815
3.2705,52.0,4.772481,1.024523,1504.0,2.049046,37.85,-122.26,2.418
3.0750,52.0,5.322649,1.012821,1098.0,2.346154,37.85,-122.26,2.135
2.6731,52.0,5.710526,1.024789,1214.0,2.126316,37.85,-122.26,1.913
1.9167,52.0,5.003546,1.002955,2418.0,2.083333,37.85,-122.26,1.592
2.1250,50.0,5.201493,1.005929,1013.0,2.520833,37.85,-122.26,1.325
2.7750,50.0,5.798754,1.086548,1551.0,2.415625,37.85,-122.26,1.500
2.1202,50.0,5.023448,1.003356,1047.0,2.333333,37.85,-122.26,1.500
